Object1ID	Object1Type	Object1PrefName	Object1TextSynonyms	Object2ID	Object2Type	Object2PrefName	Object2TextSynonyms	Predicate	Direction	ConfidenceScore	n_sentences	n_pmids	SupportPMIDs
3052230	Species	Orthohepacivirus hominis	HCV	1470	Disease	major depressive disorder	depression; depressive symptoms; major depression; MDD	leads to	->	0.404618	11	7	15136661; 19061674; 20683942; 20833939; 22701688; 28365538; 31059806
12721	Species	Human immunodeficiency virus	HIV	1470	Disease	major depressive disorder	MDD; depression; major depressive disorder; major depressive episode; depressive; depressive episodes; depressive symptoms	increases risk of	->	0.402903	21	12	18045694; 20230095; 22208452; 22614744; 23417876; 26358261; 26727907; 27115565; 29064168; 33888003; 34981438; 39581904
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19; SARS-CoV-2	1470	Disease	major depressive disorder	MDE; major depressive disorder; MDD; major depressive episode	leads to	->	0.380314	8	4	34529543; 35185890; 35439468; 39056357
1470	Disease	major depressive disorder	depression; major depressive disorder; MDD	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.360648	7	6	25892152; 26724694; 26896120; 33888003; 36048403; 40633520
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	1470	Disease	major depressive disorder	depression; MDE; depressive symptoms; major depressive disorder; MDD	increases risk of	->	0.343417	8	5	35135505; 36496170; 38801921; 39019647; 39454249
3052230	Species	Orthohepacivirus hominis	HCV	1883	Disease	hepatitis C	hepatitis C virus	leads to	->	0.333222	4	3	19061674; 20833939; 22701688
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0002025	Disease	psychiatric disorder	psychiatric illness; psychological distress	causes	->	0.311545	2	2	34281040; 35185890
12721	Species	Human immunodeficiency virus	HIV	1470	Disease	major depressive disorder	MDD; major depressive disorder; major depression	leads to	->	0.309121	43	6	9672736; 16764941; 18045694; 26358261; 28365538; 29424787
12721	Species	Human immunodeficiency virus	HIV	0005109	Disease	HIV infectious disease	HIV-infected	increases risk of	->	0.308146	4	3	18045694; 20230095; 28449629
12721	Species	Human immunodeficiency virus	HIV	526	Disease	human immunodeficiency virus infectious disease	immunodeficiency virus	increases risk of	->	0.296753	2	2	23417876; 27115565
12721	Species	Human immunodeficiency virus	HIV	0005798	Disease	HIV-associated nephropathy	HIV	increases risk of	->	0.288461	3	3	21749242; 26358261; 40633520
12721	Species	Human immunodeficiency virus	HIV	2055	Disease	post-traumatic stress disorder	PTSD	increases risk of	->	0.275948	4	2	23417876; 39581904
3052230	Species	Orthohepacivirus hominis	HCV; hepatitis C virus	1470	Disease	major depressive disorder	depression; depressive symptoms; major depression	increases risk of	->	0.275439	7	2	20683942; 25868672
